Date,Department,Month,Total_Hospital_Beds,Beds_Occupied,Daily_Admissions,Daily_Discharges,Emergency_Admissions,ICU_Admissions,Staff_Availability,Avg_Length_of_Stay,Occupancy_Rate,Day_of_Week,Season,Public_Holiday,Special_Event,Over_Capacity
2021-01-01,Cardiology,1.0,384.0,213.0,76.0,47.0,13.0,4.0,79.0,4.0,55.47,Friday,Winter,False,False,0
2021-01-04,Cardiology,1.0,385.0,294.0,25.0,26.0,15.0,2.0,81.0,2.0,76.36,Monday,Winter,False,False,0
2021-01-06,Cardiology,1.0,378.0,316.0,75.0,63.0,20.0,7.0,99.0,5.0,83.6,Wednesday,Winter,False,False,0
2021-01-08,Cardiology,1.0,357.0,220.0,76.0,51.0,16.0,11.0,87.0,4.0,61.62,Friday,Winter,False,False,0
2021-01-10,Cardiology,1.0,360.0,323.0,50.0,56.0,18.0,4.0,91.0,8.0,89.72,Sunday,Winter,False,False,0
2021-01-11,Cardiology,1.0,368.0,292.0,25.0,51.0,14.0,9.0,71.0,7.0,79.35,Monday,Winter,False,False,0
2021-01-13,Cardiology,1.0,308.0,342.0,58.0,36.0,10.0,5.0,92.0,7.0,111.04,Wednesday,Winter,False,False,1
2021-01-14,Cardiology,1.0,352.0,238.0,77.0,55.0,17.0,9.0,82.0,10.0,67.61,Thursday,Winter,False,False,0
2021-01-15,Cardiology,1.0,303.0,234.0,36.0,24.0,15.0,9.0,78.0,9.0,77.23,Friday,Winter,False,False,0
2021-01-17,Cardiology,1.0,396.0,184.0,54.0,61.0,25.0,9.0,95.0,10.0,46.46,Sunday,Winter,False,False,0
2021-01-19,Cardiology,1.0,316.0,361.0,70.0,54.0,9.0,12.0,93.0,5.0,114.24,Tuesday,Winter,False,False,1
2021-01-21,Cardiology,1.0,352.0,250.0,71.0,36.5,11.0,4.0,91.0,5.5,70.36,Thursday,Winter,False,False,0
2021-01-23,Cardiology,1.0,365.0,193.0,69.0,31.0,19.0,12.0,85.0,5.0,52.88,Saturday,Winter,True,False,0
2021-01-25,Cardiology,1.0,369.0,231.0,35.0,30.0,13.0,8.0,71.0,4.0,62.6,Monday,Winter,False,False,0
2021-02-04,Cardiology,2.0,345.0,257.5,31.0,31.5,12.5,7.5,82.5,8.0,75.29,Thursday,Winter,False,False,0
2021-02-08,Cardiology,2.0,310.0,302.0,30.0,61.0,5.0,8.0,72.0,2.0,97.42,Monday,Winter,False,False,0
2021-02-12,Cardiology,2.0,343.0,314.75,45.25,54.25,13.5,4.0,83.0,4.75,92.225,Friday,Winter,True,False,0
2021-02-14,Cardiology,2.0,376.0,321.0,66.0,48.0,21.0,2.0,99.0,3.0,85.37,Sunday,Winter,False,False,0
2021-02-15,Cardiology,2.0,304.0,189.0,44.0,23.0,8.0,9.0,74.0,3.0,62.17,Monday,Winter,False,False,0
2021-02-16,Cardiology,2.0,342.0,308.0,42.0,38.0,17.5,6.0,77.5,9.0,90.36,Tuesday,Winter,False,False,0
2021-02-17,Cardiology,2.0,333.0,315.0,37.0,43.0,13.0,12.0,78.0,1.0,94.59,Wednesday,Winter,False,False,0
2021-02-18,Cardiology,2.0,352.0,210.0,50.0,34.0,20.0,4.0,85.5,6.0,59.595,Thursday,Winter,False,False,0
2021-02-19,Cardiology,2.0,387.0,356.0,44.0,37.0,20.0,10.0,95.0,6.0,91.99,Friday,Winter,False,False,0
2021-02-20,Cardiology,2.0,393.0,237.0,80.0,46.0,10.0,5.0,99.0,1.0,60.31,Saturday,Winter,False,False,0
2021-02-26,Cardiology,2.0,306.0,247.0,48.0,32.0,18.0,3.0,99.0,5.0,80.72,Friday,Winter,False,False,0
2021-03-01,Cardiology,3.0,345.0,180.0,28.0,19.0,7.0,3.0,91.0,9.0,52.17,Monday,Spring,False,False,0
2021-03-02,Cardiology,3.0,370.5,273.5,61.0,39.5,9.5,10.0,89.5,6.0,73.28,Tuesday,Spring,False,False,0
2021-03-03,Cardiology,3.0,376.0,260.0,50.0,24.0,10.0,5.0,82.0,3.0,69.15,Wednesday,Spring,False,False,0
2021-03-14,Cardiology,3.0,348.0,318.5,53.0,29.5,10.5,9.0,86.0,8.0,94.725,Sunday,Spring,False,False,0
2021-03-15,Cardiology,3.0,347.0,345.0,58.0,24.0,19.0,12.0,95.0,8.0,99.42,Monday,Spring,False,False,0
2021-03-17,Cardiology,3.0,382.0,291.0,27.0,65.0,14.0,1.0,86.0,5.0,76.18,Wednesday,Spring,False,False,0
2021-03-19,Cardiology,3.0,363.0,289.0,49.5,34.5,21.0,7.5,83.0,4.5,79.725,Friday,Spring,False,False,0
