Date,Day_of_Week,Month,Season,Total_Hospital_Beds,Beds_Occupied,Daily_Admissions,Daily_Discharges,Emergency_Admissions,ICU_Admissions,Department,Public_Holiday,Special_Event,Staff_Availability,Avg_Length_of_Stay,Occupancy_Rate
2024-02-01,Thursday,2,Winter,362,339,58,31,17,1,Cardiology,False,False,72,6,93.65
2024-12-30,Monday,12,Winter,384,331,40,63,25,1,Cardiology,False,False,99,7,86.2
2023-05-11,Thursday,5,Summer,363,186,45,54,16,3,Pediatrics,False,False,95,1,51.24
2024-07-18,Thursday,7,Monsoon,319,192,41,18,20,4,ICU,False,True,84,5,60.19
2024-02-05,Monday,2,Winter,307,305,25,29,18,1,Orthopedics,False,False,83,9,99.35
2024-01-01,Monday,1,Winter,357,291,30,47,15,8,Pediatrics,False,False,88,1,81.51
2025-09-21,Sunday,9,Autumn,345,248,78,53,13,2,Pediatrics,False,False,72,1,71.88
2023-11-11,Saturday,11,Autumn,330,279,33,24,14,11,Neurology,False,False,84,2,84.55
2025-06-27,Friday,6,Monsoon,392,269,79,21,20,5,Pediatrics,False,False,80,3,68.62
2021-05-02,Sunday,5,Summer,308,221,55,47,23,6,ICU,False,False,91,6,71.75
2022-04-12,Tuesday,4,Spring,314,288,79,31,14,11,Orthopedics,False,False,78,6,91.72
2024-05-23,Thursday,5,Summer,393,338,59,26,25,6,Pediatrics,False,False,97,10,86.01
2021-11-27,Saturday,11,Autumn,325,381,60,31,8,6,Cardiology,False,False,98,10,117.23
2025-01-22,Wednesday,1,Winter,309,289,21,61,25,11,Pediatrics,False,False,76,1,93.53
2021-03-29,Monday,3,Spring,328,205,76,70,12,1,ICU,False,False,76,3,62.5
2024-10-28,Monday,10,Autumn,379,255,62,30,15,3,Neurology,False,False,76,9,67.28
2024-01-29,Monday,1,Winter,335,211,79,69,10,3,General Medicine,False,False,86,8,62.99
2023-05-22,Monday,5,Summer,383,270,39,28,8,8,Emergency,False,True,73,9,70.5
2025-08-15,Friday,8,Monsoon,336,304,41,17,25,6,Emergency,False,False,94,8,90.48
2021-05-11,Tuesday,5,Summer,385,305,58,65,9,2,Emergency,False,False,73,9,79.22
2025-08-13,Wednesday,8,Monsoon,370,231,23,58,22,1,ICU,False,False,76,7,62.43
2024-08-25,Sunday,8,Monsoon,322,327,75,65,7,4,Pediatrics,False,False,71,10,101.55
2023-02-09,Thursday,2,Winter,340,282,48,64,11,1,Pediatrics,False,True,91,9,82.94
2021-12-10,Friday,12,Winter,392,284,65,44,16,5,Neurology,False,False,74,3,72.45
2025-02-24,Monday,2,Winter,379,347,77,60,7,12,Orthopedics,False,False,79,6,91.56
2024-12-08,Sunday,12,Winter,327,366,43,66,21,11,Neurology,False,False,87,6,111.93
2023-03-17,Friday,3,Spring,347,384,20,69,7,8,Neurology,False,False,97,1,110.66
2022-01-21,Friday,1,Winter,337,193,43,55,15,10,Pediatrics,False,False,96,10,57.27
2024-04-30,Tuesday,4,Spring,330,351,77,49,10,2,Pediatrics,False,True,83,10,106.36
2023-08-14,Monday,8,Monsoon,313,283,49,40,15,8,Cardiology,False,False,100,7,90.42
2021-10-04,Monday,10,Autumn,396,296,31,69,8,8,Emergency,False,False,72,3,74.75
2024-03-30,Saturday,3,Spring,372,389,38,26,21,6,ICU,True,False,72,2,104.57
2022-04-05,Tuesday,4,Spring,390,227,56,45,5,8,Emergency,False,False,88,7,58.21
2024-08-30,Friday,8,Monsoon,387,272,77,66,16,2,Neurology,False,False,99,10,70.28
2021-01-22,Friday,1,Winter,376,350,59,31,7,7,Orthopedics,False,False,90,4,93.09
2021-09-10,Friday,9,Autumn,389,323,62,51,20,12,Pediatrics,False,False,95,7,83.03
2023-01-18,Wednesday,1,Winter,328,289,73,22,7,8,General Medicine,False,False,94,1,88.11
2023-05-07,Sunday,5,Summer,350,342,23,33,18,4,Pediatrics,False,False,82,10,97.71
2025-05-04,Sunday,5,Summer,348,232,34,40,21,9,General Medicine,False,False,76,8,66.67
2022-04-20,Wednesday,4,Spring,342,341,39,18,23,11,Pediatrics,True,False,75,2,99.71
2023-12-19,Tuesday,12,Winter,391,182,63,29,11,6,Neurology,False,False,89,8,46.55
2022-05-26,Thursday,5,Summer,391,247,39,65,15,12,Cardiology,False,False,82,8,63.17
2025-09-02,Tuesday,9,Autumn,371,312,73,61,20,3,General Medicine,False,False,74,9,84.1
2025-02-08,Saturday,2,Winter,386,317,74,28,23,4,General Medicine,False,False,75,4,82.12
2022-12-01,Thursday,12,Winter,392,231,80,44,9,12,Pediatrics,False,False,81,1,58.93
2023-09-03,Sunday,9,Autumn,304,336,40,62,5,4,ICU,False,False,77,10,110.53
2025-12-12,Friday,12,Winter,341,275,29,70,14,1,Pediatrics,False,False,94,8,80.65
2021-07-09,Friday,7,Monsoon,306,210,49,56,22,10,ICU,False,False,87,9,68.63
2023-08-16,Wednesday,8,Monsoon,341,245,43,38,14,1,Cardiology,False,False,93,9,71.85
2022-11-18,Friday,11,Autumn,335,383,67,60,5,1,Neurology,False,False,84,6,114.33
2023-08-16,Wednesday,8,Monsoon,326,270,74,66,17,4,Pediatrics,False,False,77,8,82.82
2022-07-17,Sunday,7,Monsoon,357,248,59,57,8,1,Cardiology,False,False,82,8,69.47
2025-05-10,Saturday,5,Summer,345,344,71,48,16,6,Neurology,False,False,76,5,99.71
2024-06-21,Friday,6,Monsoon,365,334,59,33,20,2,ICU,False,False,85,4,91.51
2023-04-12,Wednesday,4,Spring,324,266,80,17,23,1,Pediatrics,False,False,89,10,82.1
2025-03-09,Sunday,3,Spring,372,212,57,18,16,7,General Medicine,False,False,97,10,56.99
2024-02-29,Thursday,2,Winter,326,247,22,25,10,6,Neurology,False,False,94,2,75.77
2025-02-17,Monday,2,Winter,300,366,48,27,20,1,Orthopedics,False,False,92,3,122.0
2022-10-09,Sunday,10,Autumn,386,371,27,64,16,12,General Medicine,False,False,74,3,96.11
2021-01-21,Thursday,1,Winter,373,267,48,32,14,10,General Medicine,False,False,89,6,71.58
2023-04-21,Friday,4,Spring,341,351,74,33,9,12,Orthopedics,False,False,91,7,102.93
2021-06-16,Wednesday,6,Monsoon,351,274,29,58,23,9,Cardiology,False,False,84,6,78.06
2024-07-21,Sunday,7,Monsoon,324,287,24,47,16,6,ICU,False,False,91,1,88.58
2022-01-23,Sunday,1,Winter,353,356,30,70,12,2,Cardiology,False,False,94,7,100.85
2022-08-24,Wednesday,8,Monsoon,366,232,23,52,8,7,Cardiology,False,False,92,9,63.39
2021-11-12,Friday,11,Autumn,305,253,68,17,11,3,Pediatrics,False,False,84,8,82.95
2021-01-14,Thursday,1,Winter,357,228,77,63,9,7,Pediatrics,False,False,70,5,63.87
2021-08-30,Monday,8,Monsoon,369,292,54,49,15,9,Cardiology,False,False,73,4,79.13
2023-02-16,Thursday,2,Winter,352,293,69,15,21,5,ICU,False,False,89,5,83.24
2024-10-01,Tuesday,10,Autumn,365,373,59,49,25,1,Cardiology,False,False,90,3,102.19
2022-07-19,Tuesday,7,Monsoon,357,274,75,50,7,5,Pediatrics,False,False,90,9,76.75
2023-06-17,Saturday,6,Monsoon,381,370,31,52,6,8,Cardiology,False,False,95,5,97.11
2024-09-25,Wednesday,9,Autumn,386,204,40,53,23,8,Emergency,False,False,73,7,52.85
2021-04-02,Friday,4,Spring,301,311,35,69,6,3,General Medicine,False,False,84,7,103.32
2024-10-22,Tuesday,10,Autumn,375,358,33,39,18,4,Pediatrics,False,False,72,1,95.47
2023-08-14,Monday,8,Monsoon,321,318,40,54,5,12,Emergency,False,False,75,6,99.07
2025-01-18,Saturday,1,Winter,336,324,67,27,20,8,ICU,False,False,96,4,96.43
2024-12-22,Sunday,12,Winter,319,287,46,18,19,8,Neurology,False,False,83,3,89.97
2022-05-24,Tuesday,5,Summer,323,373,55,20,22,7,Neurology,False,False,71,3,115.48
2023-02-15,Wednesday,2,Winter,383,377,20,25,6,6,Orthopedics,True,True,97,6,98.43
2021-02-04,Thursday,2,Winter,364,380,20,15,15,4,Neurology,False,True,94,1,104.4
2021-07-25,Sunday,7,Monsoon,364,248,80,22,25,10,Orthopedics,False,False,91,5,68.13
2024-01-10,Wednesday,1,Winter,380,263,41,68,21,9,Neurology,False,False,100,4,69.21
2025-05-05,Monday,5,Summer,300,336,34,48,17,2,Emergency,True,True,96,10,112.0
2024-11-12,Tuesday,11,Autumn,393,264,71,54,16,2,Emergency,False,False,90,8,67.18
2023-10-23,Monday,10,Autumn,302,380,39,66,6,1,Emergency,False,False,85,9,125.83
2023-10-19,Thursday,10,Autumn,345,298,22,23,25,11,General Medicine,False,False,72,8,86.38
2024-11-14,Thursday,11,Autumn,354,251,33,50,22,12,ICU,False,False,89,7,70.9
2022-07-20,Wednesday,7,Monsoon,374,199,28,63,14,3,Pediatrics,True,True,75,3,53.21
2024-02-04,Sunday,2,Winter,387,206,38,53,16,3,Neurology,True,False,72,8,53.23
2025-12-01,Monday,12,Winter,385,187,59,56,21,4,Neurology,False,False,95,1,48.57
2025-02-09,Sunday,2,Winter,363,264,53,51,18,3,Neurology,False,False,92,4,72.73
2022-12-04,Sunday,12,Winter,344,240,23,56,23,10,Cardiology,False,False,84,3,69.77
2022-02-06,Sunday,2,Winter,325,335,52,58,17,6,Emergency,False,False,74,3,103.08
2022-12-31,Saturday,12,Winter,376,377,62,35,7,9,General Medicine,False,False,95,2,100.27
2025-04-29,Tuesday,4,Spring,364,182,56,34,12,8,Orthopedics,False,False,70,7,50.0
2021-06-11,Friday,6,Monsoon,323,376,21,52,9,6,Pediatrics,False,False,94,10,116.41
2021-07-21,Wednesday,7,Monsoon,373,380,46,15,16,8,Pediatrics,False,False,94,3,101.88
2023-09-23,Saturday,9,Autumn,334,186,64,49,5,8,Orthopedics,False,True,86,7,55.69
2021-09-27,Monday,9,Autumn,323,367,36,42,25,10,Orthopedics,False,False,89,2,113.62
2023-03-27,Monday,3,Spring,327,183,68,21,20,6,Emergency,False,False,81,3,55.96
2024-07-18,Thursday,7,Monsoon,399,312,69,57,16,2,Orthopedics,False,False,89,3,78.2
2022-04-01,Friday,4,Spring,379,318,72,70,21,5,Orthopedics,False,False,79,7,83.91
2025-01-25,Saturday,1,Winter,315,304,79,58,13,4,Orthopedics,False,False,93,10,96.51
2025-10-17,Friday,10,Autumn,358,194,50,23,17,12,Cardiology,False,False,71,4,54.19
2024-06-29,Saturday,6,Monsoon,380,371,60,15,8,6,Orthopedics,True,False,92,10,97.63
2023-10-14,Saturday,10,Autumn,353,192,25,50,8,2,General Medicine,False,False,77,7,54.39
2025-09-22,Monday,9,Autumn,378,297,79,48,19,4,Emergency,True,False,88,3,78.57
2021-10-23,Saturday,10,Autumn,315,186,71,48,14,8,Neurology,False,False,98,10,59.05
2025-10-15,Wednesday,10,Autumn,314,283,50,31,10,1,Cardiology,False,False,85,9,90.13
2022-12-21,Wednesday,12,Winter,397,185,22,67,7,3,Cardiology,False,False,95,2,46.6
2025-11-08,Saturday,11,Autumn,310,363,59,46,19,4,Emergency,True,False,88,3,117.1
2021-12-04,Saturday,12,Winter,364,243,22,16,10,2,Orthopedics,False,False,78,6,66.76
2023-05-29,Monday,5,Summer,378,357,52,50,15,12,Neurology,False,False,77,6,94.44
2023-12-13,Wednesday,12,Winter,389,209,71,39,6,2,Neurology,True,False,86,6,53.73
2023-03-03,Friday,3,Spring,367,201,78,57,6,6,Orthopedics,False,False,84,10,54.77
2021-08-05,Thursday,8,Monsoon,342,332,32,65,5,6,ICU,False,False,71,8,97.08
2023-02-03,Friday,2,Winter,368,335,40,70,15,3,Orthopedics,False,False,73,8,91.03
2021-07-07,Wednesday,7,Monsoon,398,297,56,40,9,8,Pediatrics,False,False,100,6,74.62
2022-01-15,Saturday,1,Winter,312,263,35,59,10,12,Neurology,True,False,96,8,84.29
2022-05-08,Sunday,5,Summer,309,346,40,68,7,3,General Medicine,False,False,75,1,111.97
2023-12-01,Friday,12,Winter,374,374,75,40,24,2,Orthopedics,False,False,84,7,100.0
2024-03-26,Tuesday,3,Spring,381,312,67,35,9,5,Emergency,True,False,82,3,81.89
2021-01-15,Friday,1,Winter,397,372,75,32,24,7,Orthopedics,False,False,72,3,93.7
2021-03-06,Saturday,3,Spring,340,322,63,43,13,1,Emergency,False,False,89,9,94.71
2022-06-05,Sunday,6,Monsoon,349,269,32,65,23,2,Cardiology,False,False,85,1,77.08
2024-09-29,Sunday,9,Autumn,386,374,23,38,9,2,ICU,False,False,83,9,96.89
2024-02-27,Tuesday,2,Winter,370,347,50,61,16,8,Cardiology,False,False,73,5,93.78
