Month,Total_Hospital_Beds,Daily_Admissions,Daily_Discharges,Emergency_Admissions,ICU_Admissions,Staff_Availability,Avg_Length_of_Stay,Public_Holiday,Special_Event,Over_Capacity,Year,Quarter,Month_Num,Week_Number,Day,Day_of_Week_Num,Day_of_Year,Is_Weekend,Lag_1_Day_Occupancy,Lag_7_Day_Occupancy,Lag_30_Day_Occupancy,Lag_1_Day_Admissions,Lag_7_Day_Admissions,Lag_30_Day_Admissions,Rolling_7_Day_Occupancy_Mean,Rolling_7_Day_Occupancy_Std,Rolling_30_Day_Occupancy_Mean,Rolling_30_Day_Occupancy_Std,Rolling_7_Day_Admissions_Mean,Rolling_7_Day_Admissions_Std,Rolling_30_Day_Admissions_Mean,Admission_Discharge_Ratio,ICU_Admission_Ratio,Emergency_Admission_Ratio,Staff_Per_Bed_Ratio,Admissions_LOS_Interaction,Staff_Admissions_Interaction,Emergency_Admissions_Interaction,Department_Encoded,Day_of_Week_Encoded,Season_Encoded,Target
1.0,384.0,76.0,47.0,13.0,4.0,79.0,4.0,0,0,0,2021,1,1,53,1,4,1,0,55.47,55.47,55.47,76.0,76.0,76.0,55.47,14.771460658986983,55.47,14.771460658986983,76.0,36.062445840513924,76.0,1.6170212765957446,0.05263157894736842,0.17105263157894737,0.2051948051948052,304.0,6004.0,988.0,0,0,4,55.47
1.0,386.0,58.0,42.0,22.0,1.0,84.0,4.0,0,0,0,2021,1,1,53,1,4,1,0,88.255,70.645,112.8,45.5,44.0,65.0,83.16,21.536463017072034,83.16,16.10290082622253,58.0,17.26440047640022,58.0,1.380952380952381,0.017241379310344827,0.3793103448275862,0.21705426356589147,232.0,4872.0,1276.0,3,0,4,83.16
1.0,368.0,64.0,60.0,10.0,11.0,74.0,1.0,0,0,0,2021,1,1,53,1,4,1,0,81.655,109.99000000000001,62.410000000000004,22.5,70.0,52.5,51.09,15.564466590220396,51.09,17.89726101036285,64.0,17.187343072876633,64.0,1.0666666666666667,0.171875,0.15625,0.2005420054200542,64.0,4736.0,640.0,2,0,4,51.09
1.0,336.6666666666667,37.666666666666664,40.0,19.0,8.0,87.33333333333333,3.3333333333333335,0,0,0,2021,1,1,53,1,4,1,0,92.45,66.97999999999999,101.51,49.0,41.0,55.0,95.90666666666668,20.383296061563033,95.90666666666668,17.380470011828102,37.666666666666664,18.481973199129406,37.666666666666664,0.9416666666666667,0.21238938053097348,0.504424778761062,0.2586377097729516,125.55555555555556,3289.555555555555,715.6666666666666,5,0,4,95.90666666666668
1.0,333.5,25.5,31.5,11.0,8.0,94.0,6.5,0,0,0,2021,1,1,53,1,4,1,0,75.96000000000001,87.65,102.52,57.5,71.0,41.0,83.14500000000001,12.698098663448306,83.14500000000001,13.843261924012252,25.5,10.517400547935498,25.5,0.8095238095238095,0.3137254901960784,0.43137254901960786,0.28101644245142005,165.75,2397.0,280.5,1,0,4,83.14500000000001
1.0,398.0,45.0,31.0,25.0,12.0,96.0,4.0,1,0,0,2021,1,1,53,1,4,1,0,69.66,83.71,74.61,32.0,70.0,72.0,90.45,16.50790816980928,90.45,16.351588225222358,45.0,9.997618764104873,45.0,1.4516129032258065,0.26666666666666666,0.5555555555555556,0.24060150375939848,180.0,4320.0,1125.0,6,0,4,90.45
1.0,352.0,62.0,56.0,22.0,12.0,75.0,5.0,0,0,0,2021,1,1,53,2,5,2,1,83.16,70.645,112.8,58.0,44.0,65.0,90.02,9.70150503787943,90.02,9.70150503787943,60.0,2.8284271247461903,60.0,1.1071428571428572,0.1935483870967742,0.3548387096774194,0.21246458923512748,310.0,4650.0,1364.0,3,2,4,96.88
1.0,357.0,58.0,31.0,17.0,9.0,82.0,4.0,0,0,0,2021,1,1,53,2,5,2,1,51.09,109.99000000000001,62.410000000000004,64.0,70.0,52.5,71.485,28.842885604599267,71.485,28.842885604599267,61.0,4.242640687119285,61.0,1.8709677419354838,0.15517241379310345,0.29310344827586204,0.22905027932960895,232.0,4756.0,986.0,2,2,4,91.88
1.0,382.0,52.0,43.0,12.0,10.0,71.0,9.0,0,0,0,2021,1,1,53,2,5,2,1,95.90666666666668,66.97999999999999,101.51,37.666666666666664,41.0,55.0,76.87833333333334,26.910127069356054,76.87833333333334,26.910127069356054,44.83333333333333,10.135197197007185,44.83333333333333,1.2093023255813953,0.19230769230769232,0.23076923076923078,0.185378590078329,468.0,3692.0,624.0,5,2,4,57.85
1.0,386.3333333333333,73.33333333333333,35.666666666666664,15.666666666666666,8.666666666666666,86.66666666666667,4.666666666666667,0,0,0,2021,1,1,53,2,5,2,1,81.35499999999999,69.1,87.285,41.5,36.0,31.0,67.44333333333333,21.50762179410119,67.44333333333333,19.345705394960596,73.33333333333333,11.876722932654733,73.33333333333333,2.05607476635514,0.11818181818181818,0.21363636363636365,0.22375215146299485,342.22222222222223,6355.555555555556,1148.8888888888887,4,2,4,67.44333333333333
