Date,Department,Forecast_Day,Predicted_Occupancy_Rate,Predicted_Occupied_Beds,Predicted_Available_Beds,Total_Hospital_Beds
2025-12-30,Cardiology,1,79.51,279,72,351
2025-12-31,Cardiology,2,79.97,281,70,351
2026-01-01,Cardiology,3,81.12,285,66,351
2026-01-02,Cardiology,4,79.24,278,73,351
2026-01-03,Cardiology,5,78.78,277,74,351
2026-01-04,Cardiology,6,78.51,276,75,351
2026-01-05,Cardiology,7,79.09,278,73,351
2025-12-30,Emergency,1,86.08,301,49,350
2025-12-31,Emergency,2,85.18,298,52,350
2026-01-01,Emergency,3,84.8,297,53,350
2026-01-02,Emergency,4,84.35,295,55,350
2026-01-03,Emergency,5,82.0,287,63,350
2026-01-04,Emergency,6,79.55,278,72,350
2026-01-05,Emergency,7,78.02,273,77,350
2026-01-01,General Medicine,1,103.92,373,0,359
2026-01-02,General Medicine,2,104.35,375,0,359
2026-01-03,General Medicine,3,103.37,371,0,359
2026-01-04,General Medicine,4,103.58,372,0,359
2026-01-05,General Medicine,5,103.19,370,0,359
2026-01-06,General Medicine,6,103.07,370,0,359
2026-01-07,General Medicine,7,103.11,370,0,359
2026-01-01,ICU,1,78.54,264,72,336
2026-01-02,ICU,2,78.72,265,71,336
2026-01-03,ICU,3,78.64,264,72,336
2026-01-04,ICU,4,80.04,269,67,336
2026-01-05,ICU,5,79.54,267,69,336
2026-01-06,ICU,6,78.41,263,73,336
2026-01-07,ICU,7,78.28,263,73,336
2026-01-01,Neurology,1,79.98,260,65,325
2026-01-02,Neurology,2,79.93,260,65,325
2026-01-03,Neurology,3,79.47,258,67,325
2026-01-04,Neurology,4,84.9,276,49,325
2026-01-05,Neurology,5,82.51,268,57,325
2026-01-06,Neurology,6,85.36,277,48,325
2026-01-07,Neurology,7,84.21,274,51,325
2025-12-30,Orthopedics,1,71.38,263,106,369
2025-12-31,Orthopedics,2,70.83,261,108,369
2026-01-01,Orthopedics,3,73.14,270,99,369
2026-01-02,Orthopedics,4,74.54,275,94,369
2026-01-03,Orthopedics,5,74.61,275,94,369
2026-01-04,Orthopedics,6,74.93,276,93,369
2026-01-05,Orthopedics,7,74.4,275,94,369
2025-12-30,Pediatrics,1,76.29,240,74,314
2025-12-31,Pediatrics,2,75.41,237,77,314
2026-01-01,Pediatrics,3,74.27,233,81,314
2026-01-02,Pediatrics,4,74.53,234,80,314
2026-01-03,Pediatrics,5,74.34,233,81,314
2026-01-04,Pediatrics,6,76.78,241,73,314
2026-01-05,Pediatrics,7,78.46,246,68,314
